T;V;P;PI;
300.166;148.403;142.591;140.770579;
299.816;148.242;142.591;140.9234645;
300.868;148.242;142.591;140.9234645;
300.868;148.082;143.13;141.0757299;
300.166;148.082;143.13;141.0757299;
300.166;147.921;143.13;141.2292793;
300.166;147.921;142.591;141.2292793;
299.816;147.921;143.13;141.2292793;
300.166;147.76;143.13;141.3831634;
300.166;147.76;142.591;141.3831634;
299.816;147.76;143.13;141.3831634;
299.816;147.6;143.13;141.5364243;
300.166;147.439;143.13;141.6909788;
299.465;147.439;143.13;141.6909788;
299.816;147.278;143.13;141.8458713;
299.465;147.118;143.668;142.0001375;
300.166;147.118;143.668;142.0001375;
300.166;147.118;144.207;142.0001375;
300.166;146.636;144.207;142.4668992;
300.166;146.475;144.207;142.6234936;
300.166;146.475;144.746;142.6234936;
300.517;146.154;144.746;142.9367395;
300.166;146.314;144.207;142.7804327;
300.166;146.314;144.746;142.7804327;
300.166;146.154;144.207;142.9367395;
300.517;146.154;144.207;142.9367395;
300.868;146.154;144.207;142.9367395;
300.166;146.154;144.746;142.9367395;
300.166;145.993;144.746;143.0943691;
299.816;145.832;144.746;143.2523467;
300.166;145.832;145.285;143.2523467;
300.166;145.672;145.285;143.4096891;
300.166;145.511;145.285;143.5683641;
300.166;145.35;145.285;143.7273906;
300.166;145.19;145.285;143.8857788;
300.166;145.029;145.824;144.0455097;
